time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2019-03-14,2.9382545e+15,ROME,12E_40N_15E_42N
2019-03-15,2.55174315e+15,ROME,12E_40N_15E_42N
2019-03-16,1.07710686e+15,ROME,12E_40N_15E_42N
2019-03-17,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-18,8.90988952e+14,ROME,12E_40N_15E_42N
2019-03-19,-8.67451726e+14,ROME,12E_40N_15E_42N
2019-03-20,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-21,1.28567672e+15,ROME,12E_40N_15E_42N
2019-03-22,8.8677465e+14,ROME,12E_40N_15E_42N
2019-03-23,1.50050454e+15,ROME,12E_40N_15E_42N
2019-03-24,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-25,1.51726162e+15,ROME,12E_40N_15E_42N
2019-03-26,-1.267651e+30,ROME,12E_40N_15E_42N
2019-03-27,2.75635083e+15,ROME,12E_40N_15E_42N
2019-03-28,1.0774359e+15,ROME,12E_40N_15E_42N
2019-03-29,1.69129155e+15,ROME,12E_40N_15E_42N
2019-03-30,1.57295634e+15,ROME,12E_40N_15E_42N
2019-03-31,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-01,2.65997445e+15,ROME,12E_40N_15E_42N
2019-04-02,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-03,1.9057947e+15,ROME,12E_40N_15E_42N
2019-04-04,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-05,1.03036138e+15,ROME,12E_40N_15E_42N
2019-04-06,8.46017759e+14,ROME,12E_40N_15E_42N
2019-04-07,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-08,2.00949964e+15,ROME,12E_40N_15E_42N
2019-04-09,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-10,1.68639703e+15,ROME,12E_40N_15E_42N
2019-04-11,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-12,1.11847156e+15,ROME,12E_40N_15E_42N
2019-04-13,6.55466435e+14,ROME,12E_40N_15E_42N
2019-04-14,1.04037389e+15,ROME,12E_40N_15E_42N
2019-04-15,2.2558446e+15,ROME,12E_40N_15E_42N
2019-04-16,1.12923683e+15,ROME,12E_40N_15E_42N
2019-04-17,1.9615721e+15,ROME,12E_40N_15E_42N
2019-04-18,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-19,2.05088567e+15,ROME,12E_40N_15E_42N
2019-04-20,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-21,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-22,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-23,1.2860485e+15,ROME,12E_40N_15E_42N
2019-04-24,1.07637618e+15,ROME,12E_40N_15E_42N
2019-04-25,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-26,2.06432999e+15,ROME,12E_40N_15E_42N
2019-04-27,-1.267651e+30,ROME,12E_40N_15E_42N
2019-04-28,1.04147474e+15,ROME,12E_40N_15E_42N
2019-04-29,5.35952628e+14,ROME,12E_40N_15E_42N
2019-04-30,2.02046831e+15,ROME,12E_40N_15E_42N
2019-05-01,9.30821217e+14,ROME,12E_40N_15E_42N
2019-05-02,2.65737921e+15,ROME,12E_40N_15E_42N
2019-05-03,1.67453621e+15,ROME,12E_40N_15E_42N
2019-05-04,-1.267651e+30,ROME,12E_40N_15E_42N
2019-05-05,1.35562482e+15,ROME,12E_40N_15E_42N
2019-05-06,1.22265948e+15,ROME,12E_40N_15E_42N
2019-05-07,1.07840039e+15,ROME,12E_40N_15E_42N
2019-05-08,3.32393156e+14,ROME,12E_40N_15E_42N
2019-05-09,1.27544745e+15,ROME,12E_40N_15E_42N
2019-05-10,6.21355402e+14,ROME,12E_40N_15E_42N
2019-05-11,-4.15364475e+14,ROME,12E_40N_15E_42N
2019-05-12,1.91206401e+15,ROME,12E_40N_15E_42N
2019-05-13,-1.267651e+30,ROME,12E_40N_15E_42N
2019-05-14,2.0076383e+15,ROME,12E_40N_15E_42N
2019-05-15,1.95016426e+15,ROME,12E_40N_15E_42N
2019-05-16,1.60592558e+15,ROME,12E_40N_15E_42N
2019-05-17,6.99202087e+14,ROME,12E_40N_15E_42N
2019-05-18,9.02682068e+14,ROME,12E_40N_15E_42N
2019-05-19,1.74724061e+15,ROME,12E_40N_15E_42N
2019-05-20,-1.267651e+30,ROME,12E_40N_15E_42N
2019-05-21,2.35619517e+15,ROME,12E_40N_15E_42N
2019-05-22,8.24781696e+14,ROME,12E_40N_15E_42N
2019-05-23,2.14049439e+15,ROME,12E_40N_15E_42N
2019-05-24,1.69704399e+15,ROME,12E_40N_15E_42N
2019-01-31,-1.88823177e+15,MADRID,5W_39N_2W_41N
